,name,consignment name,items per box,contamination unit,contamination parameters,contaminant arrangement,cluster distribution,contaminated units per cluster,cluster width,avg contamination rate,avg missed contamination rate,avg intercepted contamination rate,avg boxes opened per inspection,pct box opened per simulation,avg items inspected per inspection,pct items inspected per simulation,missed contaminants,intercepted contaminants,interception rate,contaminated_consignments,% missed contaminants
0,consignment scenario 10,Box clusters,200,box,"[0.0091, 3.3769]",clustered,random,2,,0.0027,0.0053,0.0555,18,6,3702,6,53986,467924,0.6422,235,10.344
1,consignment scenario 11,Box clusters,200,box,"[0.0091, 3.3769]",clustered,random,5,,0.0027,0.0055,0.0565,18,6,3702,6,45151,416338,0.6385,233,9.7839
2,consignment scenario 12,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,25,,0.0027,0.001,0.0507,18,6,3702,6,7064,552524,0.733,236,1.2624
3,consignment scenario 13,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,50,,0.0027,0.0018,0.0526,18,6,3702,6,15688,600061,0.7064,237,2.5479
4,consignment scenario 14,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,75,,0.0026,0.0021,0.0525,18,6,3702,6,19991,533027,0.6964,234,3.615
5,consignment scenario 15,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,100,,0.0027,0.0032,0.0556,18,6,3702,6,26409,521293,0.6656,235,4.8219
6,consignment scenario 16,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,125,,0.0027,0.0028,0.0539,18,6,3702,6,19867,533512,0.681,235,3.5901
7,consignment scenario 17,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,150,,0.0026,0.0033,0.0545,18,6,3702,6,29210,473413,0.6702,232,5.8116
8,consignment scenario 18,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,175,,0.0026,0.0033,0.0542,18,6,3702,6,26149,488133,0.6707,234,5.0846
9,consignment scenario 19,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,200,,0.0027,0.0051,0.0557,18,6,3702,6,50936,518845,0.6401,236,8.9397
10,consignment scenario 19,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,225,,0.0027,0.0038,0.0543,18,6,3702,6,33721,519313,0.6669,237,6.0976
11,consignment scenario 20,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,250,,0.0027,0.0036,0.0555,18,6,3702,6,35100,514811,0.6598,236,6.3829
12,consignment scenario 21,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,275,,0.0027,0.0037,0.0548,18,6,3702,6,34240,573484,0.6667,235,5.6342
13,consignment scenario 22,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,300,,0.0027,0.0043,0.0569,18,6,3702,6,40506,477923,0.6541,233,7.8132
14,consignment scenario 23,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,325,,0.0027,0.004,0.0552,18,6,3702,6,40977,453589,0.6603,234,8.2855
15,consignment scenario 24,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,350,,0.0027,0.0042,0.0559,18,6,3702,6,33754,518117,0.6559,235,6.1163
16,consignment scenario 25,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,375,,0.0026,0.004,0.0542,18,6,3702,6,38349,517816,0.6615,235,6.8954
17,consignment scenario 26,Continuous clusters,200,item,"[0.0091, 3.3769]",clustered,continuous,400,,0.0027,0.0055,0.0559,18,6,3702,6,53942,460991,0.6379,237,10.4756
18,consignment scenario 27,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,25,25,0.0027,0.001,0.0512,18,6,3702,6,7947,551084,0.7403,232,1.4217
19,consignment scenario 28,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,50,50,0.0027,0.0018,0.054,18,6,3702,6,13254,497793,0.7009,234,2.5937
20,consignment scenario 29,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,75,75,0.0027,0.0021,0.0537,18,6,3702,6,16581,487350,0.7035,231,3.2904
21,consignment scenario 30,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,100,100,0.0027,0.0031,0.0542,18,6,3702,6,26288,489912,0.6674,235,5.0926
22,consignment scenario 31,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,125,125,0.0027,0.0028,0.052,18,6,3702,6,22853,481282,0.708,234,4.5332
23,consignment scenario 32,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,150,150,0.0027,0.0032,0.0522,18,6,3702,6,28698,437919,0.6979,234,6.1502
24,consignment scenario 33,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,175,175,0.0026,0.0031,0.0511,18,6,3702,6,29009,538970,0.7098,236,5.1074
25,consignment scenario 34,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,200,200,0.0027,0.0055,0.0563,18,6,3702,6,49074,545035,0.636,236,8.2602
26,consignment scenario 34,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,225,225,0.0028,0.0031,0.0528,18,6,3702,6,28909,539775,0.7262,233,5.0835
27,consignment scenario 35,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,250,250,0.0026,0.0035,0.0502,18,6,3702,6,32625,505012,0.7232,233,6.0683
28,consignment scenario 36,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,275,275,0.0027,0.0034,0.0513,18,6,3702,6,34849,531702,0.7284,234,6.1511
29,consignment scenario 37,Random clusters,200,item,"[0.0091, 3.3769]",clustered,random,300,300,0.0027,0.0039,0.0516,18,6,3702,6,42262,522442,0.7187,233,7.4839
