,CARGO_FORM,CALENDAR_YR,ORIGIN,QUANTITY,UNIT,COMMODITY_LIST,LOCATION
1,Southern Border Cargo,2017,THA,50,Box/Carton,Rosa,AZ Nogales
2,Southern Border Cargo,2017,THA,2080,Stems,Lilium,AZ Nogales
3,Southern Border Cargo,2019,THA,15,Box/Carton,Chrysanthemum,AZ Nogales
4,Southern Border Cargo,2019,THA,137,Box/Carton,Solidago,AZ Nogales
5,Southern Border Cargo,2019,THA,22,Box/Carton,Eryngium,AZ Nogales
6,Southern Border Cargo,2019,THA,10,Box/Carton,Rosa,AZ Nogales
7,Southern Border Cargo,2019,THA,92,Box/Carton,Astrantia,AZ San Luis
8,Air Cargo,2011,AUS,200,Stems,Chrysanthemum (pom-pon),CA Los Angeles
9,Air Cargo,2011,CAN,9,Box/Carton,Chrysanthemum,CA Los Angeles
10,Air Cargo,2011,CAN,12,Box/Carton,Limonium,CA Los Angeles
11,Air Cargo,2011,CAN,11,Box/Carton,Pittosporum,CA Los Angeles
12,Air Cargo,2011,CAN,11,Box/Carton,Alstroemeria,CA Los Angeles
13,Air Cargo,2011,CAN,12,Box/Carton,Bupleurum,CA Los Angeles
14,Air Cargo,2011,CAN,11,Box/Carton,Dianthus,CA Los Angeles
15,Air Cargo,2011,CAN,88,Box/Carton,Aster,CA Los Angeles
16,Air Cargo,2011,CAN,10650,Stems,Cocculus,CA Los Angeles
17,Air Cargo,2011,CAN,26,Stems,Delphinium,CA Los Angeles
18,Air Cargo,2011,CAN,22,Box/Carton,Brassica,CA Los Angeles
19,Air Cargo,2011,CAN,100,Box/Carton,Gerbera,CA Los Angeles
20,Air Cargo,2011,CAN,1900,Stems,Ruscus,CA Los Angeles
21,Air Cargo,2011,CAN,1300,Stems,Gerbera,CA Los Angeles
22,Air Cargo,2011,CAN,13,Box/Carton,Moluccella,CA Los Angeles
23,Air Cargo,2011,CAN,17,Box/Carton,Phlox,CA Los Angeles
24,Air Cargo,2011,CAN,15,Box/Carton,Dianthus,CA Los Angeles
25,Air Cargo,2011,CAN,8,Box/Carton,Leucospermum,CA Los Angeles
26,Air Cargo,2011,CAN,62,Box/Carton,Brassica,CA Los Angeles
27,Air Cargo,2011,CAN,12,Box/Carton,Zantedeschia,CA Los Angeles
28,Air Cargo,2011,CAN,8,Box/Carton,Ammi,CA Los Angeles
29,Air Cargo,2011,CAN,9,Box/Carton,Veronica,CA Los Angeles
30,Air Cargo,2011,CAN,50,Box/Carton,Bupleurum,CA Los Angeles
31,Air Cargo,2011,CAN,157,Box/Carton,Limonium,CA Los Angeles
32,Air Cargo,2011,CAN,706,Box/Carton,Helianthus,CA Los Angeles
33,Air Cargo,2011,CAN,46,Box/Carton,Gypsophila,CA Los Angeles
