LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,1,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,1,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,1,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,3,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Italy,2023,5,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,10,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Italy,2023,11,Items,1,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Japan,2023,20,Items,2,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Australia,2023,40,Items,3,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Indonesia,2023,65,Items,4,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,100,Items,5,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,100,Items,6,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Australia,2023,105,Items,8,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Japan,2023,120,Items,7,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,130,Items,7,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,186,Items,14,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Indonesia,2023,199,Items,15,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Japan,2023,200,Items,15,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,327,Items,24,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,390,Items,28,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,South Africa,2023,397,Items,21,none
