"REPORT_DT","LOCATION","ORIGIN_NM","COMMODITY","disposition"
"2020-01-02","FL Miami Air CBP","Netherlands","Anemone","OK Inspected"
"2020-01-03","WA Blaine CBP","Netherlands","Aegilops","OK Inspected"
"2020-01-03","VA Dulles CBP","Netherlands","Anemone","OK Inspected"
"2020-01-04","VA Dulles CBP","India","Anemone","OK Inspected"
"2020-01-05","TX Brownsville CBP","Mexico","Actinidia","OK Inspected"
"2020-01-05","NY JFK CBP","Japan","Protea","OK Inspected"
"2020-01-06","TX Brownsville CBP","India","Hyacinthus","OK Inspected"
"2020-01-07","CA San Francisco CBP","Israel","Liatris","OK Inspected"
"2020-01-07","WA Seattle Air CBP","Tanzania","Agapanthus","OK Inspected"
"2020-01-08","CA San Francisco CBP","Mexico","Actinidia","OK Inspected"
"2020-01-09","HI Honolulu CBP","Japan","Rosa","OK Inspected"
"2020-01-09","TX Brownsville CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-01-10","VA Dulles CBP","Japan","Hyacinthus","OK Inspected"
"2020-01-11","CA San Francisco CBP","Japan","Rosa","OK Inspected"
"2020-01-11","WA Blaine CBP","New Zealand","Actinidia","OK Inspected"
"2020-01-12","CA San Francisco CBP","India","Gerbera","OK Inspected"
"2020-01-13","TX Brownsville CBP","Israel","Aegilops","OK Inspected"
"2020-01-13","HI Honolulu CBP","Israel","Gerbera","OK Inspected"
"2020-01-14","HI Honolulu CBP","Netherlands","Actinidia","Pest Found"
"2020-01-15","WA Seattle Air CBP","Japan","Gerbera","OK Inspected"
"2020-01-15","AZ Phoenix CBP","Israel","Anemone","OK Inspected"
"2020-01-16","VA Dulles CBP","Mexico","Agapanthus","OK Inspected"
"2020-01-17","WA Seattle Air CBP","India","Liatris","OK Inspected"
"2020-01-17","CA San Francisco CBP","India","Protea","OK Inspected"
"2020-01-18","CA San Francisco CBP","India","Rosa","OK Inspected"
"2020-01-19","HI Honolulu CBP","Netherlands","Hyacinthus","OK Inspected"
"2020-01-19","VA Dulles CBP","India","Protea","OK Inspected"
"2020-01-20","AZ Phoenix CBP","Netherlands","Actinidia","OK Inspected"
"2020-01-21","FL Miami Air CBP","Israel","Aegilops","OK Inspected"
"2020-01-21","FL Miami Air CBP","India","Aegilops","OK Inspected"
"2020-01-22","CA San Francisco CBP","Netherlands","Actinidia","OK Inspected"
"2020-01-23","HI Honolulu CBP","Mexico","Hyacinthus","OK Inspected"
"2020-01-23","WA Blaine CBP","Israel","Protea","Pest Found"
"2020-01-24","AZ Phoenix CBP","Tanzania","Actinidia","OK Inspected"
"2020-01-25","NY JFK CBP","Japan","Liatris","OK Inspected"
"2020-01-25","TX Brownsville CBP","New Zealand","Mokara","OK Inspected"
"2020-01-26","WA Blaine CBP","Mexico","Mokara","OK Inspected"
"2020-01-27","VA Dulles CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-01-27","VA Dulles CBP","India","Protea","OK Inspected"
"2020-01-28","WA Seattle Air CBP","India","Agapanthus","OK Inspected"
"2020-01-29","NY JFK CBP","Netherlands","Agapanthus","OK Inspected"
"2020-01-29","NY JFK CBP","Mexico","Liatris","OK Inspected"
"2020-01-30","VA Dulles CBP","Japan","Actinidia","OK Inspected"
"2020-01-31","HI Honolulu CBP","Japan","Hyacinthus","CFRP Not Inspected"
"2020-01-31","FL Miami Air CBP","Israel","Gerbera","OK Inspected"
"2020-02-01","WA Seattle Air CBP","Israel","Protea","OK Inspected"
"2020-02-02","HI Honolulu CBP","Netherlands","Mokara","OK Inspected"
"2020-02-02","AZ Phoenix CBP","Japan","Rosa","OK Inspected"
"2020-02-03","AZ Phoenix CBP","Tanzania","Protea","OK Inspected"
